"Ma","T","U:0","U:1","U:2","alphat","k","nut","omega","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9907,300,692.26,0,0,0.54712,72.397,0.46604,155.35,1.0132e+05,1.174,1,0,0,0.42272,1
1.9907,300,692.26,3.7391e-06,0,0.54712,72.392,0.46604,155.34,1.0133e+05,1.174,1,0.0025,0.0025,0.42272,1
1.9907,300,692.26,7.4782e-06,0,0.54711,72.387,0.46603,155.32,1.0133e+05,1.174,1,0.005,0.005,0.42272,1
1.9907,300,692.26,1.1217e-05,0,0.54711,72.381,0.46603,155.31,1.0133e+05,1.174,1,0.0075,0.0075,0.42272,1
1.9907,300,692.26,1.4956e-05,0,0.54711,72.376,0.46603,155.3,1.0133e+05,1.174,1,0.01,0.01,0.42272,1
1.9907,300,692.26,1.8696e-05,0,0.5471,72.37,0.46603,155.29,1.0133e+05,1.174,1,0.0125,0.0125,0.42272,1
1.9907,300,692.26,2.2435e-05,0,0.5471,72.365,0.46602,155.28,1.0133e+05,1.174,1,0.015,0.015,0.42272,1
1.9907,300,692.26,2.6174e-05,0,0.5471,72.36,0.46602,155.27,1.0133e+05,1.174,1,0.0175,0.0175,0.42272,1
1.9907,300,692.26,2.9913e-05,0,0.54709,72.354,0.46602,155.26,1.0133e+05,1.174,1,0.02,0.02,0.42272,1
1.9907,300,692.26,3.3652e-05,0,0.54709,72.349,0.46602,155.25,1.0133e+05,1.174,1,0.0225,0.0225,0.42272,1
1.9907,300,692.26,3.7391e-05,0,0.54709,72.343,0.46601,155.24,1.0133e+05,1.174,1,0.025,0.025,0.42272,1
1.9907,300,692.26,4.113e-05,0,0.54708,72.338,0.46601,155.23,1.0133e+05,1.174,1,0.0275,0.0275,0.42272,1
1.9907,300,692.26,4.4869e-05,0,0.54708,72.333,0.46601,155.22,1.0133e+05,1.174,1,0.03,0.03,0.42272,1
1.9907,300,692.26,4.8608e-05,0,0.54708,72.327,0.466,155.21,1.0133e+05,1.174,1,0.0325,0.0325,0.42272,1
1.9907,300,692.26,5.2348e-05,0,0.54707,72.322,0.466,155.2,1.0133e+05,1.174,1,0.035,0.035,0.42272,1
1.9907,300,692.26,5.6087e-05,0,0.54707,72.316,0.466,155.19,1.0133e+05,1.174,1,0.0375,0.0375,0.42272,1
1.9907,300,692.26,5.9826e-05,0,0.54707,72.311,0.466,155.18,1.0133e+05,1.174,1,0.04,0.04,0.42272,1
1.9907,300,692.26,6.3565e-05,0,0.54706,72.305,0.46599,155.16,1.0133e+05,1.174,1,0.0425,0.0425,0.42272,1
1.9907,300,692.26,6.7304e-05,0,0.54706,72.3,0.46599,155.15,1.0133e+05,1.174,1,0.045,0.045,0.42272,1
1.9907,300,692.26,7.1043e-05,0,0.54706,72.295,0.46599,155.14,1.0133e+05,1.174,1,0.0475,0.0475,0.42272,1
1.9907,300,692.26,7.4782e-05,0,0.54706,72.289,0.46598,155.13,1.0133e+05,1.174,1,0.05,0.05,0.42272,1
1.9907,300,692.26,7.9666e-05,0,0.54705,72.286,0.46598,155.13,1.0133e+05,1.174,1,0.0525,0.0525,0.42272,1
1.9907,300,692.26,8.4549e-05,0,0.54705,72.282,0.46598,155.12,1.0133e+05,1.174,1,0.055,0.055,0.42272,1
1.9907,300,692.26,8.9432e-05,0,0.54705,72.278,0.46598,155.11,1.0133e+05,1.174,1,0.0575,0.0575,0.42272,1
1.9907,300,692.26,9.4316e-05,0,0.54705,72.275,0.46598,155.1,1.0133e+05,1.174,1,0.06,0.06,0.42272,1
1.9907,300,692.26,9.9199e-05,0,0.54704,72.271,0.46597,155.1,1.0133e+05,1.174,1,0.0625,0.0625,0.42272,1
1.9907,300,692.26,0.00010408,0,0.54704,72.267,0.46597,155.09,1.0133e+05,1.174,1,0.065,0.065,0.42272,1
1.9907,300,692.26,0.00010897,0,0.54704,72.264,0.46597,155.08,1.0133e+05,1.174,1,0.0675,0.0675,0.42272,1
1.9907,300,692.26,0.00011385,0,0.54704,72.26,0.46597,155.08,1.0133e+05,1.174,1,0.07,0.07,0.42272,1
1.9907,300,692.26,0.00011873,0,0.54704,72.257,0.46597,155.07,1.0133e+05,1.174,1,0.0725,0.0725,0.42272,1
1.9907,300,692.26,0.00012362,0,0.54703,72.253,0.46597,155.06,1.0133e+05,1.174,1,0.075,0.075,0.42272,1
1.9907,300,692.26,0.0001285,0,0.54703,72.249,0.46596,155.05,1.0133e+05,1.174,1,0.0775,0.0775,0.42272,1
1.9907,300,692.26,0.00013338,0,0.54703,72.246,0.46596,155.05,1.0133e+05,1.174,1,0.08,0.08,0.42272,1
1.9907,300,692.26,0.00013827,0,0.54703,72.242,0.46596,155.04,1.0133e+05,1.174,1,0.0825,0.0825,0.42272,1
1.9907,300,692.26,0.00014315,0,0.54702,72.238,0.46596,155.03,1.0133e+05,1.174,1,0.085,0.085,0.42272,1
1.9907,300,692.26,0.00014803,0,0.54702,72.235,0.46596,155.03,1.0133e+05,1.174,1,0.0875,0.0875,0.42272,1
1.9907,300,692.26,0.00015292,0,0.54702,72.231,0.46595,155.02,1.0133e+05,1.174,1,0.09,0.09,0.42272,1
1.9907,300,692.26,0.0001578,0,0.54702,72.228,0.46595,155.01,1.0133e+05,1.174,1,0.0925,0.0925,0.42272,1
1.9907,300,692.26,0.00016268,0,0.54702,72.224,0.46595,155,1.0133e+05,1.174,1,0.095,0.095,0.42272,1
1.9907,300,692.26,0.00016757,0,0.54701,72.22,0.46595,155,1.0133e+05,1.174,1,0.0975,0.0975,0.42272,1
1.9907,300,692.26,0.00017245,0,0.54701,72.217,0.46595,154.99,1.0133e+05,1.174,1,0.1,0.1,0.42272,1
1.9907,300,692.26,0.00018023,0,0.54701,72.213,0.46594,154.98,1.0133e+05,1.174,1,0.1025,0.1025,0.42272,1
1.9907,300,692.26,0.000188,0,0.54701,72.209,0.46594,154.98,1.0133e+05,1.174,1,0.105,0.105,0.42272,1
1.9907,300,692.26,0.00019578,0,0.547,72.206,0.46594,154.97,1.0133e+05,1.174,1,0.1075,0.1075,0.42272,1
1.9907,300,692.26,0.00020355,0,0.547,72.202,0.46594,154.96,1.0133e+05,1.174,1,0.11,0.11,0.42272,1
1.9907,300,692.26,0.00021133,0,0.547,72.198,0.46594,154.95,1.0133e+05,1.174,1,0.1125,0.1125,0.42272,1
1.9907,300,692.26,0.0002191,0,0.547,72.195,0.46593,154.95,1.0133e+05,1.174,1,0.115,0.115,0.42272,1
1.9907,300,692.26,0.00022688,0,0.547,72.191,0.46593,154.94,1.0133e+05,1.174,1,0.1175,0.1175,0.42272,1
1.9907,300,692.26,0.00023465,0,0.54699,72.188,0.46593,154.93,1.0133e+05,1.174,1,0.12,0.12,0.42272,1
1.9907,300,692.26,0.00024243,0,0.54699,72.184,0.46593,154.93,1.0133e+05,1.174,1,0.1225,0.1225,0.42272,1
1.9907,300,692.26,0.0002502,0,0.54699,72.18,0.46593,154.92,1.0133e+05,1.174,1,0.125,0.125,0.42272,1
1.9907,300,692.26,0.00025798,0,0.54699,72.177,0.46593,154.91,1.0133e+05,1.174,1,0.1275,0.1275,0.42272,1
1.9907,300,692.26,0.00026576,0,0.54699,72.173,0.46592,154.9,1.0133e+05,1.174,1,0.13,0.13,0.42272,1
1.9907,300,692.26,0.00027353,0,0.54698,72.17,0.46592,154.9,1.0133e+05,1.174,1,0.1325,0.1325,0.42272,1
1.9907,300,692.26,0.00028131,0,0.54698,72.166,0.46592,154.89,1.0133e+05,1.174,1,0.135,0.135,0.42272,1
