"Ma","T","U:0","U:1","U:2","alphat","k","nut","omega","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9978,300,694.73,0,0,0.54712,72.397,0.46604,155.35,1.0132e+05,1.174,1,0,0,0,1
1.9978,300,694.73,1.5831e-13,0,0.54712,72.394,0.46604,155.34,1.0132e+05,1.174,1,0.0015,0.0015,0,1
1.9978,300,694.73,3.1661e-13,0,0.54712,72.391,0.46604,155.33,1.0132e+05,1.174,1,0.003,0.003,0,1
1.9978,300,694.73,4.7492e-13,0,0.54711,72.388,0.46603,155.33,1.0132e+05,1.174,1,0.0045,0.0045,0,1
1.9978,300,694.73,6.3322e-13,0,0.54711,72.385,0.46603,155.32,1.0132e+05,1.174,1,0.006,0.006,0,1
1.9978,300,694.73,7.9153e-13,0,0.54711,72.381,0.46603,155.31,1.0132e+05,1.174,1,0.0075,0.0075,0,1
1.9978,300,694.73,9.4983e-13,0,0.54711,72.378,0.46603,155.31,1.0132e+05,1.174,1,0.009,0.009,0,1
1.9978,300,694.73,1.1081e-12,0,0.54711,72.375,0.46603,155.3,1.0132e+05,1.174,1,0.0105,0.0105,0,1
1.9978,300,694.73,1.2664e-12,0,0.5471,72.372,0.46603,155.3,1.0132e+05,1.174,1,0.012,0.012,0,1
1.9978,300,694.73,1.4247e-12,0,0.5471,72.368,0.46602,155.29,1.0132e+05,1.174,1,0.0135,0.0135,0,1
1.9978,300,694.73,1.5831e-12,0,0.5471,72.365,0.46602,155.28,1.0132e+05,1.174,1,0.015,0.015,0,1
1.9978,300,694.73,1.7414e-12,0,0.5471,72.362,0.46602,155.28,1.0132e+05,1.174,1,0.0165,0.0165,0,1
1.9978,300,694.73,1.8997e-12,0,0.5471,72.359,0.46602,155.27,1.0132e+05,1.174,1,0.018,0.018,0,1
1.9978,300,694.73,2.058e-12,0,0.54709,72.356,0.46602,155.26,1.0132e+05,1.174,1,0.0195,0.0195,0,1
1.9978,300,694.73,2.2163e-12,0,0.54709,72.352,0.46602,155.26,1.0132e+05,1.174,1,0.021,0.021,0,1
1.9978,300,694.73,2.3746e-12,0,0.54709,72.349,0.46601,155.25,1.0132e+05,1.174,1,0.0225,0.0225,0,1
1.9978,300,694.73,2.5329e-12,0,0.54709,72.346,0.46601,155.24,1.0132e+05,1.174,1,0.024,0.024,0,1
1.9978,300,694.73,2.6912e-12,0,0.54709,72.343,0.46601,155.24,1.0132e+05,1.174,1,0.0255,0.0255,0,1
1.9978,300,694.73,2.8495e-12,0,0.54708,72.339,0.46601,155.23,1.0132e+05,1.174,1,0.027,0.027,0,1
1.9978,300,694.73,3.0078e-12,0,0.54708,72.336,0.46601,155.23,1.0132e+05,1.174,1,0.0285,0.0285,0,1
1.9978,300,694.73,3.1661e-12,0,0.54708,72.333,0.46601,155.22,1.0132e+05,1.174,1,0.03,0.03,0,1
1.9978,300,694.73,3.3361e-12,0,0.54708,72.33,0.466,155.21,1.0132e+05,1.174,1,0.0315,0.0315,0,1
1.9978,300,694.73,3.5644e-12,0,0.54708,72.328,0.466,155.21,1.0132e+05,1.174,1,0.033,0.033,0,1
1.9978,300,694.73,3.7928e-12,0,0.54708,72.326,0.466,155.2,1.0132e+05,1.174,1,0.0345,0.0345,0,1
1.9978,300,694.73,4.0211e-12,0,0.54707,72.323,0.466,155.2,1.0132e+05,1.174,1,0.036,0.036,0,1
1.9978,300,694.73,4.2494e-12,0,0.54707,72.321,0.466,155.2,1.0132e+05,1.174,1,0.0375,0.0375,0,1
1.9978,300,694.73,4.4778e-12,0,0.54707,72.319,0.466,155.19,1.0132e+05,1.174,1,0.039,0.039,0,1
1.9978,300,694.73,4.7061e-12,0,0.54707,72.317,0.466,155.19,1.0132e+05,1.174,1,0.0405,0.0405,0,1
1.9978,300,694.73,4.9344e-12,0,0.54707,72.315,0.466,155.18,1.0132e+05,1.174,1,0.042,0.042,0,1
1.9978,300,694.73,5.1628e-12,0,0.54707,72.312,0.466,155.18,1.0132e+05,1.174,1,0.0435,0.0435,0,1
1.9978,300,694.73,5.3911e-12,0,0.54707,72.31,0.46599,155.17,1.0132e+05,1.174,1,0.045,0.045,0,1
1.9978,300,694.73,5.6195e-12,0,0.54706,72.308,0.46599,155.17,1.0132e+05,1.174,1,0.0465,0.0465,0,1
1.9978,300,694.73,5.8478e-12,0,0.54706,72.306,0.46599,155.17,1.0132e+05,1.174,1,0.048,0.048,0,1
1.9978,300,694.73,6.0761e-12,0,0.54706,72.304,0.46599,155.16,1.0132e+05,1.174,1,0.0495,0.0495,0,1
1.9978,300,694.73,6.3045e-12,0,0.54706,72.302,0.46599,155.16,1.0132e+05,1.174,1,0.051,0.051,0,1
1.9978,300,694.73,6.5328e-12,0,0.54706,72.299,0.46599,155.15,1.0132e+05,1.174,1,0.0525,0.0525,0,1
1.9978,300,694.73,6.7611e-12,0,0.54706,72.297,0.46599,155.15,1.0132e+05,1.174,1,0.054,0.054,0,1
1.9978,300,694.73,6.9895e-12,0,0.54706,72.295,0.46599,155.14,1.0132e+05,1.174,1,0.0555,0.0555,0,1
1.9978,300,694.73,7.2178e-12,0,0.54706,72.293,0.46599,155.14,1.0132e+05,1.174,1,0.057,0.057,0,1
1.9978,300,694.73,7.4462e-12,0,0.54705,72.291,0.46598,155.14,1.0132e+05,1.174,1,0.0585,0.0585,0,1
1.9978,300,694.73,7.6745e-12,0,0.54705,72.288,0.46598,155.13,1.0132e+05,1.174,1,0.06,0.06,0,1
1.9978,300,694.73,7.9028e-12,0,0.54705,72.286,0.46598,155.13,1.0132e+05,1.174,1,0.0615,0.0615,0,1
1.9978,300,694.73,8.1807e-12,0,0.54705,72.284,0.46598,155.12,1.0132e+05,1.174,1,0.063,0.063,0,1
1.9978,300,694.73,8.5577e-12,0,0.54705,72.282,0.46598,155.12,1.0132e+05,1.174,1,0.0645,0.0645,0,1
1.9978,300,694.73,8.9347e-12,0,0.54705,72.28,0.46598,155.11,1.0132e+05,1.174,1,0.066,0.066,0,1
1.9978,300,694.73,9.3117e-12,0,0.54705,72.278,0.46598,155.11,1.0132e+05,1.174,1,0.0675,0.0675,0,1
1.9978,300,694.73,9.6887e-12,0,0.54704,72.275,0.46598,155.11,1.0132e+05,1.174,1,0.069,0.069,0,1
1.9978,300,694.73,1.0066e-11,0,0.54704,72.273,0.46597,155.1,1.0132e+05,1.174,1,0.0705,0.0705,0,1
1.9978,300,694.73,1.0443e-11,0,0.54704,72.271,0.46597,155.1,1.0132e+05,1.174,1,0.072,0.072,0,1
1.9978,300,694.73,1.082e-11,0,0.54704,72.269,0.46597,155.09,1.0132e+05,1.174,1,0.0735,0.0735,0,1
1.9978,300,694.73,1.1197e-11,0,0.54704,72.267,0.46597,155.09,1.0132e+05,1.174,1,0.075,0.075,0,1
1.9978,300,694.73,1.1574e-11,0,0.54704,72.265,0.46597,155.08,1.0132e+05,1.174,1,0.0765,0.0765,0,1
