"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.891,314.6,675.7,5.207,5.4242e-18,1.142e+05,1,0,0.5,0,1
1.8901,314.73,675.49,5.3258,5.2371e-18,1.1439e+05,1,0.0010042,0.501,9.2e-05,1
1.8891,314.86,675.29,5.4447,5.0499e-18,1.1458e+05,1,0.0020084,0.502,0.000184,1
1.8882,314.99,675.08,5.5635,4.8628e-18,1.1477e+05,1,0.0030127,0.503,0.000276,1
1.8873,315.12,674.87,5.6824,4.6757e-18,1.1496e+05,1,0.0040169,0.504,0.000368,1
1.8863,315.25,674.66,5.8013,4.4887e-18,1.1516e+05,1,0.0050211,0.505,0.00046,1
1.8854,315.38,674.46,5.9201,4.3016e-18,1.1535e+05,1,0.0060253,0.506,0.000552,1
1.8845,315.51,674.25,6.039,4.1145e-18,1.1554e+05,1,0.0070296,0.507,0.000644,1
1.8835,315.64,674.04,6.1579,3.9275e-18,1.1573e+05,1,0.0080338,0.508,0.000736,1
1.8826,315.77,673.83,6.2768,3.7404e-18,1.1592e+05,1,0.009038,0.509,0.000828,1
1.8816,315.9,673.62,6.3957,3.5534e-18,1.1611e+05,1,0.010042,0.51,0.00092,1
1.8807,316.03,673.42,6.5146,3.3664e-18,1.163e+05,1,0.011046,0.511,0.001012,1
1.8798,316.16,673.21,6.6335,3.1794e-18,1.1649e+05,1,0.012051,0.512,0.001104,1
1.8788,316.29,673,6.7525,2.9924e-18,1.1668e+05,1,0.013055,0.513,0.001196,1
1.8779,316.42,672.79,6.8714,2.8054e-18,1.1687e+05,1,0.014059,0.514,0.001288,1
1.8769,316.56,672.57,7.001,2.6188e-18,1.1708e+05,1,0.015063,0.515,0.00138,1
1.8752,316.8,672.18,7.2637,2.4371e-18,1.1744e+05,1,0.016068,0.516,0.001472,1
1.8735,317.04,671.79,7.5264,2.2554e-18,1.178e+05,1,0.017072,0.517,0.001564,1
1.8718,317.28,671.4,7.7891,2.0737e-18,1.1816e+05,1,0.018076,0.518,0.001656,1
1.87,317.52,671.02,8.0517,1.892e-18,1.1852e+05,1,0.01908,0.519,0.001748,1
1.8683,317.76,670.63,8.3144,1.7104e-18,1.1888e+05,1,0.020084,0.52,0.00184,1
1.8666,318,670.24,8.5771,1.5287e-18,1.1924e+05,1,0.021089,0.521,0.001932,1
1.8649,318.24,669.85,8.8398,1.347e-18,1.1961e+05,1,0.022093,0.522,0.002024,1
1.8632,318.48,669.46,9.1025,1.1653e-18,1.1997e+05,1,0.023097,0.523,0.002116,1
1.8614,318.72,669.07,9.3651,9.8366e-19,1.2033e+05,1,0.024101,0.524,0.002208,1
1.8597,318.96,668.68,9.6278,8.0201e-19,1.2069e+05,1,0.025106,0.525,0.0023,1
1.858,319.2,668.29,9.8905,6.2035e-19,1.2105e+05,1,0.02611,0.526,0.002392,1
1.8563,319.44,667.9,10.153,4.387e-19,1.2141e+05,1,0.027114,0.527,0.002484,1
1.8546,319.68,667.51,10.416,2.5706e-19,1.2177e+05,1,0.028118,0.528,0.002576,1
1.8528,319.92,667.12,10.679,7.5429e-20,1.2213e+05,1,0.029122,0.529,0.002668,1
1.8512,320.15,666.74,10.947,-6.3804e-20,1.2249e+05,1,0.030127,0.53,0.00276,1
1.8498,320.35,666.41,11.251,3.8629e-20,1.2281e+05,1,0.031131,0.531,0.002852,1
1.8483,320.55,666.07,11.555,1.4105e-19,1.2313e+05,1,0.032135,0.532,0.002944,1
1.8469,320.75,665.74,11.859,2.4348e-19,1.2344e+05,1,0.033139,0.533,0.003036,1
1.8455,320.95,665.41,12.163,3.4591e-19,1.2376e+05,1,0.034144,0.534,0.003128,1
1.8441,321.15,665.07,12.467,4.4834e-19,1.2408e+05,1,0.035148,0.535,0.00322,1
1.8427,321.34,664.74,12.771,5.5076e-19,1.244e+05,1,0.036152,0.536,0.003312,1
1.8412,321.54,664.4,13.075,6.5319e-19,1.2472e+05,1,0.037156,0.537,0.003404,1
1.8398,321.74,664.07,13.379,7.5561e-19,1.2503e+05,1,0.03816,0.538,0.003496,1
1.8384,321.94,663.73,13.683,8.5804e-19,1.2535e+05,1,0.039165,0.539,0.003588,1
1.837,322.14,663.4,13.987,9.6047e-19,1.2567e+05,1,0.040169,0.54,0.00368,1
1.8356,322.34,663.07,14.291,1.0629e-18,1.2599e+05,1,0.041173,0.541,0.003772,1
1.8342,322.54,662.73,14.595,1.1653e-18,1.2631e+05,1,0.042177,0.542,0.003864,1
1.8327,322.74,662.4,14.899,1.2677e-18,1.2663e+05,1,0.043182,0.543,0.003956,1
1.8313,322.94,662.06,15.203,1.3702e-18,1.2694e+05,1,0.044186,0.544,0.004048,1
1.83,323.13,661.74,15.513,1.4699e-18,1.2725e+05,1,0.04519,0.545,0.00414,1
1.8288,323.29,661.46,15.842,1.5605e-18,1.2752e+05,1,0.046194,0.546,0.004232,1
1.8277,323.45,661.18,16.171,1.6511e-18,1.2779e+05,1,0.047198,0.547,0.004324,1
1.8266,323.61,660.9,16.5,1.7417e-18,1.2807e+05,1,0.048203,0.548,0.004416,1
1.8254,323.77,660.62,16.829,1.8323e-18,1.2834e+05,1,0.049207,0.549,0.004508,1
1.8243,323.93,660.34,17.158,1.9228e-18,1.2861e+05,1,0.050211,0.55,0.0046,1
1.8231,324.09,660.07,17.487,2.0134e-18,1.2888e+05,1,0.051215,0.551,0.004692,1
1.822,324.25,659.79,17.816,2.104e-18,1.2915e+05,1,0.05222,0.552,0.004784,1
1.8209,324.41,659.51,18.145,2.1946e-18,1.2942e+05,1,0.053224,0.553,0.004876,1
1.8197,324.57,659.23,18.474,2.2851e-18,1.297e+05,1,0.054228,0.554,0.004968,1
1.8186,324.73,658.95,18.804,2.3757e-18,1.2997e+05,1,0.055232,0.555,0.00506,1
1.8174,324.89,658.67,19.133,2.4662e-18,1.3024e+05,1,0.056236,0.556,0.005152,1
1.8163,325.05,658.39,19.462,2.5568e-18,1.3051e+05,1,0.057241,0.557,0.005244,1
1.8152,325.21,658.11,19.791,2.6473e-18,1.3078e+05,1,0.058245,0.558,0.005336,1
1.814,325.38,657.83,20.12,2.7379e-18,1.3105e+05,1,0.059249,0.559,0.005428,1
