"Ma","T","U:0","U:1","U:2","ddt0(rho)","ddt0(rho,K)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddt0(rho,e)","ddt0(thermo:psi,p)","ddtCorrDdt0(rho,U):0","ddtCorrDdt0(rho,U):1","ddtCorrDdt0(rho,U):2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4716,375.72,584.31,34.157,1.9081e-17,3.1544e-08,-0.0036801,2.7095e-06,7.4035e-07,1.1927e-24,0.0061804,3.1544e-08,2.7095e-06,7.4035e-07,1.1927e-24,1.7676e+05,1.6352,1,0,0.5,0,1
1.4696,376.04,583.6,34.75,1.8575e-17,3.1864e-08,-0.0037288,2.6998e-06,7.377e-07,1.1611e-24,0.0062212,3.1864e-08,2.6998e-06,7.377e-07,1.1611e-24,1.7751e+05,1.6406,1,0.0010366,0.501,0.000273,1
1.4676,376.36,582.89,35.344,1.8069e-17,3.2184e-08,-0.0037774,2.6901e-06,7.3506e-07,1.1295e-24,0.006262,3.2184e-08,2.6901e-06,7.3506e-07,1.1295e-24,1.7826e+05,1.6459,1,0.0020732,0.502,0.000546,1
1.4657,376.69,582.17,35.938,1.7564e-17,3.2503e-08,-0.0038261,2.6804e-06,7.3241e-07,1.0979e-24,0.0063028,3.2503e-08,2.6804e-06,7.3241e-07,1.0979e-24,1.7901e+05,1.6513,1,0.0031098,0.503,0.000819,1
1.4637,377.01,581.46,36.531,1.7058e-17,3.2823e-08,-0.0038747,2.6708e-06,7.2976e-07,1.0663e-24,0.0063436,3.2823e-08,2.6708e-06,7.2976e-07,1.0663e-24,1.7976e+05,1.6566,1,0.0041464,0.504,0.001092,1
1.4618,377.33,580.75,37.125,1.6552e-17,3.3143e-08,-0.0039234,2.6611e-06,7.2712e-07,1.0347e-24,0.0063844,3.3143e-08,2.6611e-06,7.2712e-07,1.0347e-24,1.8051e+05,1.662,1,0.005183,0.505,0.001365,1
1.4598,377.66,580.04,37.718,1.6047e-17,3.3462e-08,-0.003972,2.6514e-06,7.2447e-07,1.0031e-24,0.0064252,3.3462e-08,2.6514e-06,7.2447e-07,1.0031e-24,1.8126e+05,1.6674,1,0.0062196,0.506,0.001638,1
1.4579,377.98,579.33,38.312,1.5541e-17,3.3782e-08,-0.0040207,2.6417e-06,7.2182e-07,9.7145e-25,0.006466,3.3782e-08,2.6417e-06,7.2182e-07,9.7145e-25,1.8201e+05,1.6727,1,0.0072562,0.507,0.001911,1
1.4559,378.3,578.62,38.906,1.5036e-17,3.4102e-08,-0.0040693,2.6321e-06,7.1918e-07,9.3985e-25,0.0065068,3.4102e-08,2.6321e-06,7.1918e-07,9.3985e-25,1.8276e+05,1.6781,1,0.0082928,0.508,0.002184,1
1.4539,378.63,577.91,39.499,1.453e-17,3.4421e-08,-0.0041179,2.6224e-06,7.1653e-07,9.0824e-25,0.0065476,3.4421e-08,2.6224e-06,7.1653e-07,9.0824e-25,1.8351e+05,1.6834,1,0.0093294,0.509,0.002457,1
