"Ma","T","U:0","U:1","U:2","alphat","k","nut","omega","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9978,300,694.73,0,0,0.54712,72.397,0.46604,155.35,1.0132e+05,1.174,1,0,0,0.39083,1
1.9978,300,694.73,-9.0264e-16,0,0.54712,72.392,0.46604,155.34,1.0132e+05,1.174,1,0.0025,0.0025,0.39083,1
1.9978,300,694.73,-1.8053e-15,0,0.54711,72.387,0.46603,155.33,1.0132e+05,1.174,1,0.005,0.005,0.39083,1
1.9978,300,694.73,-2.7079e-15,0,0.54711,72.382,0.46603,155.31,1.0132e+05,1.174,1,0.0075,0.0075,0.39083,1
1.9978,300,694.73,-3.6106e-15,0,0.54711,72.376,0.46603,155.3,1.0132e+05,1.174,1,0.01,0.01,0.39083,1
1.9978,300,694.73,-4.5132e-15,0,0.5471,72.371,0.46603,155.29,1.0132e+05,1.174,1,0.0125,0.0125,0.39083,1
1.9978,300,694.73,-4.4609e-15,0,0.5471,72.367,0.46603,155.29,1.0132e+05,1.174,1,0.015,0.015,0.39083,1
1.9978,300,694.73,-4.4086e-15,0,0.5471,72.364,0.46602,155.28,1.0132e+05,1.174,1,0.0175,0.0175,0.39083,1
1.9978,300,694.73,-4.3563e-15,0,0.5471,72.36,0.46602,155.27,1.0132e+05,1.174,1,0.02,0.02,0.39083,1
1.9978,300,694.73,-4.304e-15,0,0.54709,72.357,0.46602,155.27,1.0132e+05,1.174,1,0.0225,0.0225,0.39083,1
1.9978,300,694.73,-4.2516e-15,0,0.54709,72.353,0.46602,155.26,1.0132e+05,1.174,1,0.025,0.025,0.39083,1
1.9978,300,694.73,-3.6316e-15,0,0.54709,72.349,0.46602,155.25,1.0132e+05,1.174,1,0.0275,0.0275,0.39083,1
1.9978,300,694.73,-3.0115e-15,0,0.54709,72.346,0.46601,155.24,1.0132e+05,1.174,1,0.03,0.03,0.39083,1
1.9978,300,694.73,-2.3915e-15,0,0.54709,72.342,0.46601,155.24,1.0132e+05,1.174,1,0.0325,0.0325,0.39083,1
1.9978,300,694.73,-1.7714e-15,0,0.54708,72.338,0.46601,155.23,1.0132e+05,1.174,1,0.035,0.035,0.39083,1
1.9978,300,694.73,-1.1514e-15,0,0.54708,72.335,0.46601,155.22,1.0132e+05,1.174,1,0.0375,0.0375,0.39083,1
1.9978,300,694.73,-1.8495e-15,0,0.54708,72.331,0.46601,155.21,1.0132e+05,1.174,1,0.04,0.04,0.39083,1
1.9978,300,694.73,-2.5477e-15,0,0.54708,72.327,0.466,155.21,1.0132e+05,1.174,1,0.0425,0.0425,0.39083,1
1.9978,300,694.73,-3.2458e-15,0,0.54707,72.324,0.466,155.2,1.0132e+05,1.174,1,0.045,0.045,0.39083,1
1.9978,300,694.73,-3.944e-15,0,0.54707,72.32,0.466,155.19,1.0132e+05,1.174,1,0.0475,0.0475,0.39083,1
1.9978,300,694.73,-4.6422e-15,0,0.54707,72.317,0.466,155.19,1.0132e+05,1.174,1,0.05,0.05,0.39083,1
1.9978,300,694.73,-4.1468e-15,0,0.54707,72.313,0.466,155.18,1.0132e+05,1.174,1,0.0525,0.0525,0.39083,1
1.9978,300,694.73,-3.6514e-15,0,0.54707,72.309,0.46599,155.17,1.0132e+05,1.174,1,0.055,0.055,0.39083,1
1.9978,300,694.73,-3.156e-15,0,0.54706,72.306,0.46599,155.16,1.0132e+05,1.174,1,0.0575,0.0575,0.39083,1
1.9978,300,694.73,-2.6606e-15,0,0.54706,72.302,0.46599,155.16,1.0132e+05,1.174,1,0.06,0.06,0.39083,1
1.9978,300,694.73,-2.1652e-15,0,0.54706,72.298,0.46599,155.15,1.0132e+05,1.174,1,0.0625,0.0625,0.39083,1
1.9978,300,694.73,-7.5919e-16,0,0.54706,72.295,0.46599,155.14,1.0132e+05,1.174,1,0.065,0.065,0.39083,1
1.9978,300,694.73,6.4685e-16,0,0.54705,72.291,0.46598,155.14,1.0132e+05,1.174,1,0.0675,0.0675,0.39083,1
1.9978,300,694.73,2.0529e-15,0,0.54705,72.287,0.46598,155.13,1.0132e+05,1.174,1,0.07,0.07,0.39083,1
1.9978,300,694.73,3.4589e-15,0,0.54705,72.284,0.46598,155.12,1.0132e+05,1.174,1,0.0725,0.0725,0.39083,1
1.9978,300,694.73,4.865e-15,0,0.54705,72.28,0.46598,155.11,1.0132e+05,1.174,1,0.075,0.075,0.39083,1
1.9978,300,694.73,5.771e-15,0,0.54705,72.277,0.46598,155.11,1.0132e+05,1.174,1,0.0775,0.0775,0.39083,1
1.9978,300,694.73,6.6771e-15,0,0.54704,72.273,0.46597,155.1,1.0132e+05,1.174,1,0.08,0.08,0.39083,1
1.9978,300,694.73,7.5832e-15,0,0.54704,72.269,0.46597,155.09,1.0132e+05,1.174,1,0.0825,0.0825,0.39083,1
1.9978,300,694.73,8.4893e-15,0,0.54704,72.266,0.46597,155.09,1.0132e+05,1.174,1,0.085,0.085,0.39083,1
1.9978,300,694.73,9.3954e-15,0,0.54704,72.262,0.46597,155.08,1.0132e+05,1.174,1,0.0875,0.0875,0.39083,1
1.9978,300,694.73,9.9676e-15,0,0.54703,72.258,0.46597,155.07,1.0132e+05,1.174,1,0.09,0.09,0.39083,1
1.9978,300,694.73,1.054e-14,0,0.54703,72.255,0.46597,155.06,1.0132e+05,1.174,1,0.0925,0.0925,0.39083,1
1.9978,300,694.73,1.1112e-14,0,0.54703,72.251,0.46596,155.06,1.0132e+05,1.174,1,0.095,0.095,0.39083,1
1.9978,300,694.73,1.1684e-14,0,0.54703,72.248,0.46596,155.05,1.0132e+05,1.174,1,0.0975,0.0975,0.39083,1
1.9978,300,694.73,1.2257e-14,0,0.54702,72.244,0.46596,155.04,1.0132e+05,1.174,1,0.1,0.1,0.39083,1
1.9978,300,694.73,9.3115e-15,0,0.54702,72.24,0.46596,155.04,1.0132e+05,1.174,1,0.1025,0.1025,0.39083,1
1.9978,300,694.73,6.3664e-15,0,0.54702,72.237,0.46596,155.03,1.0132e+05,1.174,1,0.105,0.105,0.39083,1
1.9978,300,694.73,3.4213e-15,0,0.54702,72.233,0.46595,155.02,1.0132e+05,1.174,1,0.1075,0.1075,0.39083,1
1.9978,300,694.73,4.7612e-16,0,0.54702,72.229,0.46595,155.02,1.0132e+05,1.174,1,0.11,0.11,0.39083,1
1.9978,300,694.73,-2.469e-15,0,0.54701,72.226,0.46595,155.01,1.0132e+05,1.174,1,0.1125,0.1125,0.39083,1
1.9978,300,694.73,-7.7109e-15,0,0.54701,72.222,0.46595,155,1.0132e+05,1.174,1,0.115,0.115,0.39083,1
1.9978,300,694.73,-1.2953e-14,0,0.54701,72.219,0.46595,154.99,1.0132e+05,1.174,1,0.1175,0.1175,0.39083,1
1.9978,300,694.73,-1.8195e-14,0,0.54701,72.215,0.46594,154.99,1.0132e+05,1.174,1,0.12,0.12,0.39083,1
1.9978,300,694.73,-2.3437e-14,0,0.547,72.211,0.46594,154.98,1.0132e+05,1.174,1,0.1225,0.1225,0.39083,1
1.9978,300,694.73,-2.8678e-14,0,0.547,72.208,0.46594,154.97,1.0132e+05,1.174,1,0.125,0.125,0.39083,1
1.9978,300,694.73,-3.882e-14,0,0.547,72.204,0.46594,154.96,1.0132e+05,1.174,1,0.1275,0.1275,0.39083,1
1.9978,300,694.73,-4.8962e-14,0,0.547,72.2,0.46594,154.96,1.0132e+05,1.174,1,0.13,0.13,0.39083,1
1.9978,300,694.73,-5.9104e-14,0,0.547,72.197,0.46593,154.95,1.0132e+05,1.174,1,0.1325,0.1325,0.39083,1
1.9978,300,694.73,-6.9246e-14,0,0.54699,72.193,0.46593,154.94,1.0132e+05,1.174,1,0.135,0.135,0.39083,1
1.9978,300,694.73,-7.9388e-14,0,0.54699,72.19,0.46593,154.94,1.0132e+05,1.174,1,0.1375,0.1375,0.39083,1
1.9978,300,694.73,-8.7431e-14,0,0.54699,72.186,0.46593,154.93,1.0132e+05,1.174,1,0.14,0.14,0.39083,1
1.9978,300,694.73,-9.5474e-14,0,0.54699,72.182,0.46593,154.92,1.0132e+05,1.174,1,0.1425,0.1425,0.39083,1
1.9978,300,694.73,-1.0352e-13,0,0.54698,72.179,0.46592,154.92,1.0132e+05,1.174,1,0.145,0.145,0.39083,1
1.9978,300,694.73,-1.1156e-13,0,0.54698,72.175,0.46592,154.91,1.0132e+05,1.174,1,0.1475,0.1475,0.39083,1
1.9978,300,694.73,-1.196e-13,0,0.54698,72.171,0.46592,154.9,1.0132e+05,1.174,1,0.15,0.15,0.39083,1
1.9978,300,694.73,-1.2235e-13,0,0.54698,72.168,0.46592,154.89,1.0132e+05,1.174,1,0.1525,0.1525,0.39083,1
1.9978,300,694.73,-1.251e-13,0,0.54697,72.164,0.46592,154.89,1.0132e+05,1.174,1,0.155,0.155,0.39083,1
1.9978,300,694.73,-1.2785e-13,0,0.54697,72.161,0.46591,154.88,1.0132e+05,1.174,1,0.1575,0.1575,0.39083,1
1.9978,300,694.73,-1.3059e-13,0,0.54697,72.157,0.46591,154.87,1.0132e+05,1.174,1,0.16,0.16,0.39083,1
1.9978,300,694.73,-1.3334e-13,0,0.54697,72.153,0.46591,154.86,1.0132e+05,1.174,1,0.1625,0.1625,0.39083,1
1.9978,300,694.73,-1.356e-13,0,0.54697,72.15,0.46591,154.86,1.0132e+05,1.174,1,0.165,0.165,0.39083,1
1.9978,300,694.73,-1.3785e-13,0,0.54696,72.146,0.46591,154.85,1.0132e+05,1.174,1,0.1675,0.1675,0.39083,1
1.9978,300,694.73,-1.4011e-13,0,0.54696,72.143,0.46591,154.84,1.0132e+05,1.174,1,0.17,0.17,0.39083,1
1.9978,300,694.73,-1.4237e-13,0,0.54696,72.139,0.4659,154.84,1.0132e+05,1.174,1,0.1725,0.1725,0.39083,1
1.9978,300,694.73,-1.4462e-13,0,0.54696,72.135,0.4659,154.83,1.0132e+05,1.174,1,0.175,0.175,0.39083,1
1.9978,300,694.73,-1.4526e-13,0,0.54695,72.132,0.4659,154.82,1.0132e+05,1.174,1,0.1775,0.1775,0.39083,1
1.9978,300,694.73,-1.4591e-13,0,0.54695,72.128,0.4659,154.82,1.0132e+05,1.174,1,0.18,0.18,0.39083,1
1.9978,300,694.73,-1.4655e-13,0,0.54695,72.124,0.4659,154.81,1.0132e+05,1.174,1,0.1825,0.1825,0.39083,1
1.9978,300,694.73,-1.4719e-13,0,0.54695,72.121,0.46589,154.8,1.0132e+05,1.174,1,0.185,0.185,0.39083,1
1.9978,300,694.73,-1.4784e-13,0,0.54694,72.117,0.46589,154.79,1.0132e+05,1.174,1,0.1875,0.1875,0.39083,1
1.9978,300,694.73,-1.4282e-13,0,0.54694,72.114,0.46589,154.79,1.0132e+05,1.174,1,0.19,0.19,0.39083,1
1.9978,300,694.73,-1.3781e-13,0,0.54694,72.11,0.46589,154.78,1.0132e+05,1.174,1,0.1925,0.1925,0.39083,1
1.9978,300,694.73,-1.3279e-13,0,0.54694,72.106,0.46589,154.77,1.0132e+05,1.174,1,0.195,0.195,0.39083,1
1.9978,300,694.73,-1.2778e-13,0,0.54694,72.103,0.46588,154.77,1.0132e+05,1.174,1,0.1975,0.1975,0.39083,1
1.9978,300,694.73,-1.2277e-13,0,0.54693,72.099,0.46588,154.76,1.0132e+05,1.174,1,0.2,0.2,0.39083,1
1.9978,300,694.73,-1.1509e-13,0,0.54693,72.096,0.46588,154.75,1.0132e+05,1.174,1,0.2025,0.2025,0.39083,1
1.9978,300,694.73,-1.0741e-13,0,0.54693,72.092,0.46588,154.74,1.0132e+05,1.174,1,0.205,0.205,0.39083,1
1.9978,300,694.73,-9.9739e-14,0,0.54693,72.088,0.46588,154.74,1.0132e+05,1.174,1,0.2075,0.2075,0.39083,1
1.9978,300,694.73,-9.2063e-14,0,0.54692,72.085,0.46587,154.73,1.0132e+05,1.174,1,0.21,0.21,0.39083,1
1.9978,300,694.73,-8.4387e-14,0,0.54692,72.081,0.46587,154.72,1.0132e+05,1.174,1,0.2125,0.2125,0.39083,1
1.9978,300,694.73,-7.7633e-14,0,0.54692,72.077,0.46587,154.72,1.0132e+05,1.174,1,0.215,0.215,0.39083,1
1.9978,300,694.73,-7.088e-14,0,0.54692,72.074,0.46587,154.71,1.0132e+05,1.174,1,0.2175,0.2175,0.39083,1
1.9978,300,694.73,-6.4126e-14,0,0.54692,72.07,0.46587,154.7,1.0132e+05,1.174,1,0.22,0.22,0.39083,1
1.9978,300,694.73,-5.7373e-14,0,0.54691,72.067,0.46586,154.69,1.0132e+05,1.174,1,0.2225,0.2225,0.39083,1
1.9978,300,694.73,-5.0619e-14,0,0.54691,72.063,0.46586,154.69,1.0132e+05,1.174,1,0.225,0.225,0.39083,1
1.9978,300,694.73,-4.2084e-14,0,0.54691,72.059,0.46586,154.68,1.0132e+05,1.174,1,0.2275,0.2275,0.39083,1
1.9978,300,694.73,-3.3549e-14,0,0.54691,72.056,0.46586,154.67,1.0132e+05,1.174,1,0.23,0.23,0.39083,1
1.9978,300,694.73,-2.5013e-14,0,0.5469,72.052,0.46586,154.67,1.0132e+05,1.174,1,0.2325,0.2325,0.39083,1
1.9978,300,694.73,-1.6478e-14,0,0.5469,72.049,0.46585,154.66,1.0132e+05,1.174,1,0.235,0.235,0.39083,1
1.9978,300,694.73,-7.9429e-15,0,0.5469,72.045,0.46585,154.65,1.0132e+05,1.174,1,0.2375,0.2375,0.39083,1
1.9978,300,694.73,-3.0807e-16,0,0.5469,72.041,0.46585,154.64,1.0132e+05,1.174,1,0.24,0.24,0.39083,1
1.9978,300,694.73,7.3268e-15,0,0.54689,72.038,0.46585,154.64,1.0132e+05,1.174,1,0.2425,0.2425,0.39083,1
1.9978,300,694.73,1.4962e-14,0,0.54689,72.034,0.46585,154.63,1.0132e+05,1.174,1,0.245,0.245,0.39083,1
1.9978,300,694.73,2.2597e-14,0,0.54689,72.031,0.46584,154.62,1.0132e+05,1.174,1,0.2475,0.2475,0.39083,1
1.9978,300,694.73,3.0231e-14,0,0.54689,72.027,0.46584,154.62,1.0132e+05,1.174,1,0.25,0.25,0.39083,1
1.9978,300,694.73,3.7961e-14,0,0.54689,72.023,0.46584,154.61,1.0132e+05,1.174,1,0.2525,0.2525,0.39083,1
1.9978,300,694.73,4.569e-14,0,0.54688,72.02,0.46584,154.6,1.0132e+05,1.174,1,0.255,0.255,0.39083,1
1.9978,300,694.73,5.342e-14,0,0.54688,72.016,0.46584,154.6,1.0132e+05,1.174,1,0.2575,0.2575,0.39083,1
1.9978,300,694.73,6.1149e-14,0,0.54688,72.013,0.46584,154.59,1.0132e+05,1.174,1,0.26,0.26,0.39083,1
1.9978,300,694.73,6.8879e-14,0,0.54688,72.009,0.46583,154.58,1.0132e+05,1.174,1,0.2625,0.2625,0.39083,1
