"Ma","T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.30434,530.65,140.27,36.805,0,5.2969e+05,3.4696,1,0,0.5,0,1
0.30522,530.56,140.52,37.171,-3.4516e-20,5.2959e+05,3.4695,1,0.0011398,0.501,0.000547,1
0.3061,530.47,140.77,37.538,-6.9077e-20,5.2949e+05,3.4694,1,0.0022796,0.502,0.001094,1
0.30699,530.38,141.02,37.905,-1.0368e-19,5.2939e+05,3.4694,1,0.0034195,0.503,0.001641,1
0.30787,530.29,141.27,38.271,-1.3833e-19,5.2929e+05,3.4693,1,0.0045593,0.504,0.002188,1
0.30875,530.2,141.52,38.638,-1.7302e-19,5.2918e+05,3.4692,1,0.0056991,0.505,0.002735,1
0.30963,530.11,141.77,39.005,-2.0776e-19,5.2908e+05,3.4692,1,0.006839,0.506,0.003282,1
0.31051,530.01,142.02,39.372,-2.4254e-19,5.2898e+05,3.4691,1,0.0079788,0.507,0.003829,1
0.31139,529.92,142.27,39.738,-2.7737e-19,5.2888e+05,3.469,1,0.0091186,0.508,0.004376,1
0.31228,529.83,142.52,40.105,-3.1224e-19,5.2878e+05,3.4689,1,0.010258,0.509,0.004923,1
0.31316,529.74,142.77,40.472,-3.4715e-19,5.2868e+05,3.4689,1,0.011398,0.51,0.00547,1
0.31404,529.65,143.02,40.839,-3.8211e-19,5.2858e+05,3.4688,1,0.012538,0.511,0.006017,1
0.31492,529.56,143.27,41.206,-4.1711e-19,5.2848e+05,3.4687,1,0.013678,0.512,0.006564,1
0.3158,529.47,143.51,41.573,-4.5216e-19,5.2837e+05,3.4687,1,0.014818,0.513,0.007111,1
0.31668,529.38,143.76,41.939,-4.8725e-19,5.2827e+05,3.4686,1,0.015958,0.514,0.007658,1
0.31765,529.28,144.04,42.329,-6.3828e-19,5.2815e+05,3.4684,1,0.017097,0.515,0.008205,1
0.31963,529.12,144.69,43.003,-2.2263e-18,5.2777e+05,3.467,1,0.018237,0.516,0.008752,1
0.3216,528.95,145.33,43.677,-3.8144e-18,5.2738e+05,3.4656,1,0.019377,0.517,0.009299,1
0.32358,528.78,145.98,44.351,-5.4024e-18,5.27e+05,3.4642,1,0.020517,0.518,0.009846,1
0.32556,528.61,146.62,45.025,-6.9903e-18,5.2662e+05,3.4627,1,0.021657,0.519,0.010393,1
0.32754,528.44,147.26,45.699,-8.5781e-18,5.2624e+05,3.4613,1,0.022797,0.52,0.01094,1
0.32952,528.27,147.91,46.373,-1.0166e-17,5.2585e+05,3.4599,1,0.023936,0.521,0.011487,1
