"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2833,400.93,535.65,36.737,3.4037e-17,2.1213e+05,1,0,0.5,0,1
1.283,400.98,535.53,36.808,3.3918e-17,2.1225e+05,1,0.0010645,0.501,0.000365,1
1.2827,401.04,535.41,36.878,3.3798e-17,2.1238e+05,1,0.002129,0.502,0.00073,1
1.2824,401.09,535.29,36.949,3.3679e-17,2.125e+05,1,0.0031936,0.503,0.001095,1
1.2821,401.15,535.17,37.019,3.356e-17,2.1262e+05,1,0.0042581,0.504,0.00146,1
1.2818,401.2,535.04,37.09,3.3441e-17,2.1274e+05,1,0.0053226,0.505,0.001825,1
1.2815,401.25,534.92,37.16,3.3322e-17,2.1287e+05,1,0.0063872,0.506,0.00219,1
1.2812,401.31,534.8,37.231,3.3202e-17,2.1299e+05,1,0.0074517,0.507,0.002555,1
1.2809,401.36,534.68,37.301,3.3083e-17,2.1311e+05,1,0.0085163,0.508,0.00292,1
1.2806,401.41,534.56,37.372,3.2964e-17,2.1323e+05,1,0.0095808,0.509,0.003285,1
1.2803,401.47,534.44,37.443,3.2845e-17,2.1336e+05,1,0.010645,0.51,0.00365,1
1.28,401.52,534.32,37.513,3.2726e-17,2.1348e+05,1,0.01171,0.511,0.004015,1
1.2797,401.57,534.2,37.584,3.2606e-17,2.136e+05,1,0.012774,0.512,0.00438,1
1.2794,401.63,534.08,37.654,3.2487e-17,2.1373e+05,1,0.013839,0.513,0.004745,1
1.2791,401.68,533.96,37.725,3.2368e-17,2.1385e+05,1,0.014903,0.514,0.00511,1
1.2788,401.73,533.84,37.795,3.2249e-17,2.1397e+05,1,0.015968,0.515,0.005475,1
1.2785,401.79,533.72,37.866,3.213e-17,2.1409e+05,1,0.017032,0.516,0.00584,1
1.2782,401.84,533.6,37.936,3.201e-17,2.1422e+05,1,0.018097,0.517,0.006205,1
1.2779,401.9,533.48,38.007,3.1891e-17,2.1434e+05,1,0.019162,0.518,0.00657,1
1.2776,401.95,533.36,38.077,3.1772e-17,2.1446e+05,1,0.020226,0.519,0.006935,1
1.2773,402,533.23,38.148,3.1653e-17,2.1458e+05,1,0.021291,0.52,0.0073,1
1.277,402.06,533.11,38.218,3.1534e-17,2.1471e+05,1,0.022355,0.521,0.007665,1
1.2767,402.11,532.99,38.289,3.1414e-17,2.1483e+05,1,0.02342,0.522,0.00803,1
1.2764,402.16,532.87,38.36,3.1295e-17,2.1495e+05,1,0.024484,0.523,0.008395,1
1.2761,402.22,532.75,38.43,3.1176e-17,2.1507e+05,1,0.025549,0.524,0.00876,1
