"Ma","T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9978,300,694.73,0,0,1.0132e+05,1.174,1,0,0,0.282,1
1.9978,300,694.73,5.7279e-10,0,1.0132e+05,1.174,1,0.0025,0.0025,0.282,1
1.9978,300,694.73,1.1456e-09,0,1.0132e+05,1.174,1,0.005,0.005,0.282,1
1.9978,300,694.73,1.7184e-09,0,1.0132e+05,1.174,1,0.0075,0.0075,0.282,1
1.9978,300,694.73,2.2911e-09,0,1.0132e+05,1.174,1,0.01,0.01,0.282,1
1.9978,300,694.73,2.8639e-09,0,1.0132e+05,1.174,1,0.0125,0.0125,0.282,1
1.9978,300,694.73,3.4367e-09,0,1.0132e+05,1.174,1,0.015,0.015,0.282,1
1.9978,300,694.73,4.2802e-09,0,1.0132e+05,1.174,1,0.0175,0.0175,0.282,1
1.9978,300,694.73,5.1412e-09,0,1.0132e+05,1.174,1,0.02,0.02,0.282,1
1.9978,300,694.73,6.0022e-09,0,1.0132e+05,1.174,1,0.0225,0.0225,0.282,1
1.9978,300,694.73,6.8632e-09,0,1.0132e+05,1.174,1,0.025,0.025,0.282,1
1.9978,300,694.73,7.7242e-09,0,1.0132e+05,1.174,1,0.0275,0.0275,0.282,1
1.9978,300,694.73,8.5852e-09,0,1.0132e+05,1.174,1,0.03,0.03,0.282,1
1.9978,300,694.73,1.006e-08,0,1.0132e+05,1.174,1,0.0325,0.0325,0.282,1
1.9978,300,694.73,1.1619e-08,0,1.0132e+05,1.174,1,0.035,0.035,0.282,1
1.9978,300,694.73,1.3178e-08,0,1.0132e+05,1.174,1,0.0375,0.0375,0.282,1
1.9978,300,694.73,1.4738e-08,0,1.0132e+05,1.174,1,0.04,0.04,0.282,1
1.9978,300,694.73,1.6297e-08,0,1.0132e+05,1.174,1,0.0425,0.0425,0.282,1
1.9978,300,694.73,1.7856e-08,0,1.0132e+05,1.174,1,0.045,0.045,0.282,1
1.9978,300,694.73,2.0364e-08,0,1.0132e+05,1.174,1,0.0475,0.0475,0.282,1
1.9978,300,694.73,2.3082e-08,0,1.0132e+05,1.174,1,0.05,0.05,0.282,1
1.9978,300,694.73,2.58e-08,0,1.0132e+05,1.174,1,0.0525,0.0525,0.282,1
1.9978,300,694.73,2.8517e-08,0,1.0132e+05,1.174,1,0.055,0.055,0.282,1
1.9978,300,694.73,3.1235e-08,0,1.0132e+05,1.174,1,0.0575,0.0575,0.282,1
1.9978,300,694.73,3.3953e-08,0,1.0132e+05,1.174,1,0.06,0.06,0.282,1
1.9978,300,694.73,3.8132e-08,0,1.0132e+05,1.174,1,0.0625,0.0625,0.282,1
1.9978,300,694.73,4.2778e-08,0,1.0132e+05,1.174,1,0.065,0.065,0.282,1
1.9978,300,694.73,4.7423e-08,0,1.0132e+05,1.174,1,0.0675,0.0675,0.282,1
1.9978,300,694.73,5.2069e-08,0,1.0132e+05,1.174,1,0.07,0.07,0.282,1
1.9978,300,694.73,5.6715e-08,0,1.0132e+05,1.174,1,0.0725,0.0725,0.282,1
1.9978,300,694.73,6.1361e-08,0,1.0132e+05,1.174,1,0.075,0.075,0.282,1
1.9978,300,694.73,6.8229e-08,0,1.0132e+05,1.174,1,0.0775,0.0775,0.282,1
1.9978,300,694.73,7.6065e-08,0,1.0132e+05,1.174,1,0.08,0.08,0.282,1
1.9978,300,694.73,8.39e-08,0,1.0132e+05,1.174,1,0.0825,0.0825,0.282,1
1.9978,300,694.73,9.1735e-08,0,1.0132e+05,1.174,1,0.085,0.085,0.282,1
1.9978,300,694.73,9.9571e-08,0,1.0132e+05,1.174,1,0.0875,0.0875,0.282,1
1.9978,300,694.73,1.0741e-07,0,1.0132e+05,1.174,1,0.09,0.09,0.282,1
1.9978,300,694.73,1.1859e-07,0,1.0132e+05,1.174,1,0.0925,0.0925,0.282,1
1.9978,300,694.73,1.3168e-07,0,1.0132e+05,1.174,1,0.095,0.095,0.282,1
1.9978,300,694.73,1.4477e-07,0,1.0132e+05,1.174,1,0.0975,0.0975,0.282,1
1.9978,300,694.73,1.5786e-07,0,1.0132e+05,1.174,1,0.1,0.1,0.282,1
1.9978,300,694.73,1.7095e-07,0,1.0132e+05,1.174,1,0.1025,0.1025,0.282,1
1.9978,300,694.73,1.8404e-07,0,1.0132e+05,1.174,1,0.105,0.105,0.282,1
1.9978,300,694.73,2.021e-07,0,1.0132e+05,1.174,1,0.1075,0.1075,0.282,1
1.9978,300,694.73,2.2382e-07,0,1.0132e+05,1.174,1,0.11,0.11,0.282,1
1.9978,300,694.73,2.4554e-07,0,1.0132e+05,1.174,1,0.1125,0.1125,0.282,1
1.9978,300,694.73,2.6725e-07,0,1.0132e+05,1.174,1,0.115,0.115,0.282,1
1.9978,300,694.73,2.8897e-07,0,1.0132e+05,1.174,1,0.1175,0.1175,0.282,1
1.9978,300,694.73,3.1069e-07,0,1.0132e+05,1.174,1,0.12,0.12,0.282,1
1.9978,300,694.73,3.3968e-07,0,1.0132e+05,1.174,1,0.1225,0.1225,0.282,1
1.9978,300,694.73,3.7551e-07,0,1.0132e+05,1.174,1,0.125,0.125,0.282,1
1.9978,300,694.73,4.1135e-07,0,1.0132e+05,1.174,1,0.1275,0.1275,0.282,1
1.9978,300,694.73,4.4718e-07,0,1.0132e+05,1.174,1,0.13,0.13,0.282,1
1.9978,300,694.73,4.8301e-07,0,1.0132e+05,1.174,1,0.1325,0.1325,0.282,1
1.9978,300,694.73,5.1885e-07,0,1.0132e+05,1.174,1,0.135,0.135,0.282,1
1.9978,300,694.73,5.6514e-07,0,1.0132e+05,1.174,1,0.1375,0.1375,0.282,1
1.9978,300,694.73,6.2399e-07,0,1.0132e+05,1.174,1,0.14,0.14,0.282,1
1.9978,300,694.73,6.8284e-07,0,1.0132e+05,1.174,1,0.1425,0.1425,0.282,1
1.9978,300,694.73,7.4169e-07,0,1.0132e+05,1.174,1,0.145,0.145,0.282,1
1.9978,300,694.73,8.0054e-07,0,1.0132e+05,1.174,1,0.1475,0.1475,0.282,1
1.9978,300,694.73,8.5938e-07,0,1.0132e+05,1.174,1,0.15,0.15,0.282,1
1.9978,300,694.73,9.3296e-07,0,1.0132e+05,1.174,1,0.1525,0.1525,0.282,1
1.9978,300,694.73,1.0292e-06,0,1.0132e+05,1.174,1,0.155,0.155,0.282,1
1.9978,300,694.73,1.1255e-06,0,1.0132e+05,1.174,1,0.1575,0.1575,0.282,1
1.9978,300,694.73,1.2217e-06,0,1.0132e+05,1.174,1,0.16,0.16,0.282,1
1.9978,300,694.73,1.318e-06,0,1.0132e+05,1.174,1,0.1625,0.1625,0.282,1
1.9978,300,694.73,1.4142e-06,0,1.0132e+05,1.174,1,0.165,0.165,0.282,1
1.9978,300,694.73,1.5306e-06,0,1.0132e+05,1.174,1,0.1675,0.1675,0.282,1
1.9978,300,694.73,1.6874e-06,0,1.0132e+05,1.174,1,0.17,0.17,0.282,1
1.9978,300,694.73,1.8443e-06,0,1.0132e+05,1.174,1,0.1725,0.1725,0.282,1
1.9978,300,694.73,2.0011e-06,0,1.0132e+05,1.174,1,0.175,0.175,0.282,1
1.9978,300,694.73,2.1579e-06,0,1.0132e+05,1.174,1,0.1775,0.1775,0.282,1
1.9978,300,694.73,2.3147e-06,0,1.0132e+05,1.174,1,0.18,0.18,0.282,1
1.9978,300,694.73,2.4981e-06,0,1.0132e+05,1.174,1,0.1825,0.1825,0.282,1
1.9978,300,694.73,2.7527e-06,0,1.0132e+05,1.174,1,0.185,0.185,0.282,1
1.9978,300,694.73,3.0072e-06,0,1.0132e+05,1.174,1,0.1875,0.1875,0.282,1
1.9978,300,694.73,3.2617e-06,0,1.0132e+05,1.174,1,0.19,0.19,0.282,1
1.9978,300,694.73,3.5163e-06,0,1.0132e+05,1.174,1,0.1925,0.1925,0.282,1
1.9978,300,694.73,3.7708e-06,0,1.0132e+05,1.174,1,0.195,0.195,0.282,1
1.9978,300,694.73,4.0587e-06,0,1.0132e+05,1.174,1,0.1975,0.1975,0.282,1
1.9978,300,694.73,4.4703e-06,0,1.0132e+05,1.174,1,0.2,0.2,0.282,1
1.9978,300,694.73,4.8819e-06,0,1.0132e+05,1.174,1,0.2025,0.2025,0.282,1
1.9978,300,694.73,5.2935e-06,0,1.0132e+05,1.174,1,0.205,0.205,0.282,1
1.9978,300,694.73,5.7051e-06,0,1.0132e+05,1.174,1,0.2075,0.2075,0.282,1
1.9978,300,694.73,6.1168e-06,0,1.0132e+05,1.174,1,0.21,0.21,0.282,1
1.9978,300,694.73,6.5665e-06,0,1.0132e+05,1.174,1,0.2125,0.2125,0.282,1
1.9978,300,694.73,7.2296e-06,0,1.0132e+05,1.174,1,0.215,0.215,0.282,1
1.9978,300,694.73,7.8927e-06,0,1.0132e+05,1.174,1,0.2175,0.2175,0.282,1
1.9978,300,694.73,8.5559e-06,0,1.0132e+05,1.174,1,0.22,0.22,0.282,1
1.9978,300,694.73,9.219e-06,0,1.0132e+05,1.174,1,0.2225,0.2225,0.282,1
1.9978,300,694.73,9.8821e-06,0,1.0132e+05,1.174,1,0.225,0.225,0.282,1
1.9978,300,694.73,1.0582e-05,0,1.0132e+05,1.174,1,0.2275,0.2275,0.282,1
1.9978,300,694.73,1.1646e-05,0,1.0132e+05,1.174,1,0.23,0.23,0.282,1
1.9978,300,694.73,1.271e-05,0,1.0132e+05,1.174,1,0.2325,0.2325,0.282,1
1.9978,300,694.73,1.3774e-05,0,1.0132e+05,1.174,1,0.235,0.235,0.282,1
1.9978,300,694.73,1.4838e-05,0,1.0132e+05,1.174,1,0.2375,0.2375,0.282,1
1.9978,300,694.73,1.5902e-05,0,1.0132e+05,1.174,1,0.24,0.24,0.282,1
1.9978,300,694.73,1.6986e-05,0,1.0132e+05,1.174,1,0.2425,0.2425,0.282,1
1.9978,300,694.73,1.8686e-05,0,1.0132e+05,1.174,1,0.245,0.245,0.282,1
1.9978,300,694.73,2.0387e-05,0,1.0132e+05,1.174,1,0.2475,0.2475,0.282,1
1.9978,300,694.73,2.2087e-05,0,1.0132e+05,1.174,1,0.25,0.25,0.282,1
1.9978,300,694.73,2.3788e-05,0,1.0132e+05,1.174,1,0.2525,0.2525,0.282,1
1.9978,300,694.73,2.5488e-05,0,1.0132e+05,1.174,1,0.255,0.255,0.282,1
1.9978,300,694.73,2.7189e-05,0,1.0132e+05,1.174,1,0.2575,0.2575,0.282,1
1.9978,300,694.73,2.9864e-05,0,1.0132e+05,1.174,1,0.26,0.26,0.282,1
1.9978,300,694.73,3.257e-05,0,1.0132e+05,1.174,1,0.2625,0.2625,0.282,1
1.9978,300,694.73,3.5276e-05,0,1.0132e+05,1.174,1,0.265,0.265,0.282,1
1.9978,300,694.73,3.7982e-05,0,1.0132e+05,1.174,1,0.2675,0.2675,0.282,1
1.9978,300,694.73,4.0688e-05,0,1.0132e+05,1.174,1,0.27,0.27,0.282,1
1.9978,300,694.73,4.3394e-05,0,1.0132e+05,1.174,1,0.2725,0.2725,0.282,1
