,M2,M2,M2,T2/T1,T2/T1,T2/T1,p2/p1,p2/p1,p2/p1,rho2/rho1,rho2/rho1,rho2/rho1
Mach,1.5,2.0,2.5,1.5,2.0,2.5,1.5,2.0,2.5,1.5,2.0,2.5
Angle (deg),,,,,,,,,,,,
0.0,1.493,1.9978,2.4884,1.0,1.0,1.0,0.9999506538366641,0.9999506538366641,0.9999506538366641,1.0,1.0,1.0
4.993656219768746,1.3154,1.8194,2.2867,1.0741666666666667,1.0825,1.0952333333333333,1.2772760917838637,1.3142857142857143,1.3770540340488526,1.1890971039182283,1.214054514480409,1.2572402044293016
9.949307700452986,1.0962,1.6288,2.0764,1.1652666666666667,1.1745,1.2035333333333333,1.6546755489760672,1.6944485566247225,1.8451517394522576,1.4200170357751278,1.4426746166950597,1.5330494037478706
14.829238941980538,,1.427,1.8568,,1.2762666666666667,1.3263666666666667,,2.1432025660004936,2.399013076733284,,1.6792163543441228,1.808688245315162
19.59631072102033,,1.1986,1.6199,,1.3957333333333335,1.4715666666666667,,2.6768319763138417,3.0372563533185293,,1.917802385008518,2.06396933560477
22.387244586819268,,1.0359,1.4806,,1.4789999999999999,1.5623666666666667,,3.076042437700469,3.448803355539107,,2.0798126064735944,2.2073253833049407
24.21424274289723,,0.87875,1.3885,,1.5548666666666666,1.6226333333333334,,3.473279052553664,3.7201085615593388,,2.2338160136286205,2.2925894378194207
28.647889756541158,,0.66209,1.1403,,1.6553333333333333,1.7740333333333334,,4.175376264495435,4.493955094991365,,2.5223168654173764,2.5331345826235094
