Mach,Angle (deg),M2,rho2/rho1,p2/p1,T2/T1
1.5,0.0,1.493,1.0,0.9999506538366641,1.0
1.5,4.993656219768746,1.3154,1.1890971039182283,1.2772760917838637,1.0741666666666667
1.5,9.949307700452986,1.0962,1.4200170357751278,1.6546755489760672,1.1652666666666667
2.0,0.0,1.9978,1.0,0.9999506538366641,1.0
2.0,4.993656219768746,1.8194,1.214054514480409,1.3142857142857143,1.0825
2.0,9.949307700452986,1.6288,1.4426746166950597,1.6944485566247225,1.1745
2.0,14.829238941980538,1.427,1.6792163543441228,2.1432025660004936,1.2762666666666667
2.0,19.59631072102033,1.1986,1.917802385008518,2.6768319763138417,1.3957333333333335
2.0,22.387244586819268,1.0359,2.0798126064735944,3.076042437700469,1.4789999999999999
2.0,24.21424274289723,0.87875,2.2338160136286205,3.473279052553664,1.5548666666666666
2.0,28.647889756541158,0.66209,2.5223168654173764,4.175376264495435,1.6553333333333333
2.5,0.0,2.4884,1.0,0.9999506538366641,1.0
2.5,4.993656219768746,2.2867,1.2572402044293016,1.3770540340488526,1.0952333333333333
2.5,9.949307700452986,2.0764,1.5330494037478706,1.8451517394522576,1.2035333333333333
2.5,14.829238941980538,1.8568,1.808688245315162,2.399013076733284,1.3263666666666667
2.5,19.59631072102033,1.6199,2.06396933560477,3.0372563533185293,1.4715666666666667
2.5,22.387244586819268,1.4806,2.2073253833049407,3.448803355539107,1.5623666666666667
2.5,24.21424274289723,1.3885,2.2925894378194207,3.7201085615593388,1.6226333333333334
2.5,28.647889756541158,1.1403,2.5331345826235094,4.493955094991365,1.7740333333333334
