"Ma","T","U:0","U:1","U:2","alphat","k","nut","omega","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9978,300,694.73,0,0,0.54712,72.397,0.46604,155.35,1.0132e+05,1.174,1,0,0,0.282,1
1.9978,300,694.73,4.933e-14,0,0.54712,72.392,0.46604,155.34,1.0132e+05,1.174,1,0.0025,0.0025,0.282,1
1.9978,300,694.73,9.8659e-14,0,0.54711,72.387,0.46603,155.32,1.0132e+05,1.174,1,0.005,0.005,0.282,1
1.9978,300,694.73,1.4799e-13,0,0.54711,72.381,0.46603,155.31,1.0132e+05,1.174,1,0.0075,0.0075,0.282,1
1.9978,300,694.73,1.9732e-13,0,0.54711,72.376,0.46603,155.3,1.0132e+05,1.174,1,0.01,0.01,0.282,1
1.9978,300,694.73,2.4665e-13,0,0.5471,72.371,0.46603,155.29,1.0132e+05,1.174,1,0.0125,0.0125,0.282,1
1.9978,300,694.73,2.9598e-13,0,0.5471,72.365,0.46602,155.28,1.0132e+05,1.174,1,0.015,0.015,0.282,1
1.9978,300,694.73,3.4531e-13,0,0.5471,72.36,0.46602,155.27,1.0132e+05,1.174,1,0.0175,0.0175,0.282,1
1.9978,300,694.73,3.9464e-13,0,0.54709,72.355,0.46602,155.26,1.0132e+05,1.174,1,0.02,0.02,0.282,1
1.9978,300,694.73,4.4397e-13,0,0.54709,72.349,0.46602,155.25,1.0132e+05,1.174,1,0.0225,0.0225,0.282,1
1.9978,300,694.73,4.933e-13,0,0.54709,72.344,0.46601,155.24,1.0132e+05,1.174,1,0.025,0.025,0.282,1
1.9978,300,694.73,5.6718e-13,0,0.54708,72.34,0.46601,155.23,1.0132e+05,1.174,1,0.0275,0.0275,0.282,1
1.9978,300,694.73,6.4107e-13,0,0.54708,72.337,0.46601,155.23,1.0132e+05,1.174,1,0.03,0.03,0.282,1
1.9978,300,694.73,7.1496e-13,0,0.54708,72.333,0.46601,155.22,1.0132e+05,1.174,1,0.0325,0.0325,0.282,1
1.9978,300,694.73,7.8885e-13,0,0.54708,72.329,0.466,155.21,1.0132e+05,1.174,1,0.035,0.035,0.282,1
1.9978,300,694.73,8.6273e-13,0,0.54708,72.326,0.466,155.2,1.0132e+05,1.174,1,0.0375,0.0375,0.282,1
1.9978,300,694.73,9.3662e-13,0,0.54707,72.322,0.466,155.2,1.0132e+05,1.174,1,0.04,0.04,0.282,1
1.9978,300,694.73,1.0105e-12,0,0.54707,72.318,0.466,155.19,1.0132e+05,1.174,1,0.0425,0.0425,0.282,1
1.9978,300,694.73,1.0844e-12,0,0.54707,72.315,0.466,155.18,1.0132e+05,1.174,1,0.045,0.045,0.282,1
1.9978,300,694.73,1.1583e-12,0,0.54707,72.311,0.466,155.18,1.0132e+05,1.174,1,0.0475,0.0475,0.282,1
1.9978,300,694.73,1.2322e-12,0,0.54706,72.308,0.46599,155.17,1.0132e+05,1.174,1,0.05,0.05,0.282,1
1.9978,300,694.73,1.3552e-12,0,0.54706,72.304,0.46599,155.16,1.0132e+05,1.174,1,0.0525,0.0525,0.282,1
1.9978,300,694.73,1.4783e-12,0,0.54706,72.3,0.46599,155.15,1.0132e+05,1.174,1,0.055,0.055,0.282,1
1.9978,300,694.73,1.6013e-12,0,0.54706,72.297,0.46599,155.15,1.0132e+05,1.174,1,0.0575,0.0575,0.282,1
1.9978,300,694.73,1.7244e-12,0,0.54706,72.293,0.46599,155.14,1.0132e+05,1.174,1,0.06,0.06,0.282,1
1.9978,300,694.73,1.8474e-12,0,0.54705,72.289,0.46598,155.13,1.0132e+05,1.174,1,0.0625,0.0625,0.282,1
1.9978,300,694.73,1.9705e-12,0,0.54705,72.286,0.46598,155.13,1.0132e+05,1.174,1,0.065,0.065,0.282,1
1.9978,300,694.73,2.0935e-12,0,0.54705,72.282,0.46598,155.12,1.0132e+05,1.174,1,0.0675,0.0675,0.282,1
1.9978,300,694.73,2.2166e-12,0,0.54705,72.279,0.46598,155.11,1.0132e+05,1.174,1,0.07,0.07,0.282,1
1.9978,300,694.73,2.3396e-12,0,0.54704,72.275,0.46598,155.1,1.0132e+05,1.174,1,0.0725,0.0725,0.282,1
1.9978,300,694.73,2.4627e-12,0,0.54704,72.271,0.46597,155.1,1.0132e+05,1.174,1,0.075,0.075,0.282,1
1.9978,300,694.73,2.669e-12,0,0.54704,72.268,0.46597,155.09,1.0132e+05,1.174,1,0.0775,0.0775,0.282,1
1.9978,300,694.73,2.8754e-12,0,0.54704,72.264,0.46597,155.08,1.0132e+05,1.174,1,0.08,0.08,0.282,1
1.9978,300,694.73,3.0817e-12,0,0.54703,72.26,0.46597,155.08,1.0132e+05,1.174,1,0.0825,0.0825,0.282,1
1.9978,300,694.73,3.2881e-12,0,0.54703,72.257,0.46597,155.07,1.0132e+05,1.174,1,0.085,0.085,0.282,1
1.9978,300,694.73,3.4944e-12,0,0.54703,72.253,0.46596,155.06,1.0132e+05,1.174,1,0.0875,0.0875,0.282,1
1.9978,300,694.73,3.7008e-12,0,0.54703,72.249,0.46596,155.05,1.0132e+05,1.174,1,0.09,0.09,0.282,1
1.9978,300,694.73,3.9071e-12,0,0.54703,72.246,0.46596,155.05,1.0132e+05,1.174,1,0.0925,0.0925,0.282,1
1.9978,300,694.73,4.1134e-12,0,0.54702,72.242,0.46596,155.04,1.0132e+05,1.174,1,0.095,0.095,0.282,1
1.9978,300,694.73,4.3198e-12,0,0.54702,72.239,0.46596,155.03,1.0132e+05,1.174,1,0.0975,0.0975,0.282,1
1.9978,300,694.73,4.5261e-12,0,0.54702,72.235,0.46595,155.03,1.0132e+05,1.174,1,0.1,0.1,0.282,1
1.9978,300,694.73,4.8732e-12,0,0.54702,72.231,0.46595,155.02,1.0132e+05,1.174,1,0.1025,0.1025,0.282,1
1.9978,300,694.73,5.2203e-12,0,0.54701,72.228,0.46595,155.01,1.0132e+05,1.174,1,0.105,0.105,0.282,1
1.9978,300,694.73,5.5674e-12,0,0.54701,72.224,0.46595,155,1.0132e+05,1.174,1,0.1075,0.1075,0.282,1
1.9978,300,694.73,5.9145e-12,0,0.54701,72.22,0.46595,155,1.0132e+05,1.174,1,0.11,0.11,0.282,1
1.9978,300,694.73,6.2616e-12,0,0.54701,72.217,0.46595,154.99,1.0132e+05,1.174,1,0.1125,0.1125,0.282,1
1.9978,300,694.73,6.6087e-12,0,0.54701,72.213,0.46594,154.98,1.0132e+05,1.174,1,0.115,0.115,0.282,1
1.9978,300,694.73,6.9557e-12,0,0.547,72.21,0.46594,154.98,1.0132e+05,1.174,1,0.1175,0.1175,0.282,1
1.9978,300,694.73,7.3028e-12,0,0.547,72.206,0.46594,154.97,1.0132e+05,1.174,1,0.12,0.12,0.282,1
1.9978,300,694.73,7.6499e-12,0,0.547,72.202,0.46594,154.96,1.0132e+05,1.174,1,0.1225,0.1225,0.282,1
1.9978,300,694.73,7.997e-12,0,0.547,72.199,0.46594,154.95,1.0132e+05,1.174,1,0.125,0.125,0.282,1
1.9978,300,694.73,8.5731e-12,0,0.54699,72.195,0.46593,154.95,1.0132e+05,1.174,1,0.1275,0.1275,0.282,1
1.9978,300,694.73,9.1492e-12,0,0.54699,72.191,0.46593,154.94,1.0132e+05,1.174,1,0.13,0.13,0.282,1
1.9978,300,694.73,9.7254e-12,0,0.54699,72.188,0.46593,154.93,1.0132e+05,1.174,1,0.1325,0.1325,0.282,1
1.9978,300,694.73,1.0301e-11,0,0.54699,72.184,0.46593,154.93,1.0132e+05,1.174,1,0.135,0.135,0.282,1
1.9978,300,694.73,1.0878e-11,0,0.54698,72.181,0.46593,154.92,1.0132e+05,1.174,1,0.1375,0.1375,0.282,1
1.9978,300,694.73,1.1454e-11,0,0.54698,72.177,0.46592,154.91,1.0132e+05,1.174,1,0.14,0.14,0.282,1
1.9978,300,694.73,1.203e-11,0,0.54698,72.173,0.46592,154.9,1.0132e+05,1.174,1,0.1425,0.1425,0.282,1
1.9978,300,694.73,1.2606e-11,0,0.54698,72.17,0.46592,154.9,1.0132e+05,1.174,1,0.145,0.145,0.282,1
1.9978,300,694.73,1.3182e-11,0,0.54698,72.166,0.46592,154.89,1.0132e+05,1.174,1,0.1475,0.1475,0.282,1
1.9978,300,694.73,1.3758e-11,0,0.54697,72.163,0.46592,154.88,1.0132e+05,1.174,1,0.15,0.15,0.282,1
1.9978,300,694.73,1.4707e-11,0,0.54697,72.159,0.46591,154.88,1.0132e+05,1.174,1,0.1525,0.1525,0.282,1
1.9978,300,694.73,1.5656e-11,0,0.54697,72.155,0.46591,154.87,1.0132e+05,1.174,1,0.155,0.155,0.282,1
1.9978,300,694.73,1.6606e-11,0,0.54697,72.152,0.46591,154.86,1.0132e+05,1.174,1,0.1575,0.1575,0.282,1
1.9978,300,694.73,1.7555e-11,0,0.54696,72.148,0.46591,154.85,1.0132e+05,1.174,1,0.16,0.16,0.282,1
1.9978,300,694.73,1.8504e-11,0,0.54696,72.144,0.46591,154.85,1.0132e+05,1.174,1,0.1625,0.1625,0.282,1
1.9978,300,694.73,1.9453e-11,0,0.54696,72.141,0.4659,154.84,1.0132e+05,1.174,1,0.165,0.165,0.282,1
1.9978,300,694.73,2.0402e-11,0,0.54696,72.137,0.4659,154.83,1.0132e+05,1.174,1,0.1675,0.1675,0.282,1
1.9978,300,694.73,2.1351e-11,0,0.54696,72.134,0.4659,154.83,1.0132e+05,1.174,1,0.17,0.17,0.282,1
