"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.5926,354.49,618.93,18.749,-7.4217e-19,1.5272e+05,1,0,0.5,0,1
1.5899,354.93,618.12,19.158,-6.8437e-19,1.535e+05,1,0.0010368,0.501,0.000274,1
1.5872,355.37,617.32,19.568,-6.2656e-19,1.5428e+05,1,0.0020737,0.502,0.000548,1
1.5845,355.82,616.51,19.977,-5.6875e-19,1.5506e+05,1,0.0031106,0.503,0.000822,1
1.5818,356.26,615.71,20.386,-5.1093e-19,1.5584e+05,1,0.0041474,0.504,0.001096,1
1.5791,356.7,614.9,20.796,-4.5311e-19,1.5662e+05,1,0.0051843,0.505,0.00137,1
1.5764,357.14,614.1,21.205,-3.9528e-19,1.574e+05,1,0.0062211,0.506,0.001644,1
1.5737,357.58,613.29,21.615,-3.3745e-19,1.5818e+05,1,0.007258,0.507,0.001918,1
1.571,358.02,612.49,22.024,-2.7962e-19,1.5895e+05,1,0.0082949,0.508,0.002192,1
1.5683,358.46,611.68,22.434,-2.2178e-19,1.5973e+05,1,0.0093317,0.509,0.002466,1
1.5656,358.9,610.88,22.843,-1.6394e-19,1.6051e+05,1,0.010369,0.51,0.00274,1
1.5629,359.34,610.07,23.252,-1.0609e-19,1.6129e+05,1,0.011405,0.511,0.003014,1
1.5602,359.78,609.27,23.662,-4.8237e-20,1.6207e+05,1,0.012442,0.512,0.003288,1
1.5575,360.23,608.46,24.072,9.6186e-21,1.6285e+05,1,0.013479,0.513,0.003562,1
1.5548,360.67,607.66,24.481,6.7478e-20,1.6363e+05,1,0.014516,0.514,0.003836,1
1.5519,361.13,606.8,24.926,1.2288e-19,1.6446e+05,1,0.015553,0.515,0.00411,1
1.5471,361.92,605.3,25.806,1.4779e-19,1.6595e+05,1,0.01659,0.516,0.004384,1
1.5423,362.71,603.79,26.687,1.7271e-19,1.6744e+05,1,0.017627,0.517,0.004658,1
1.5375,363.5,602.29,27.567,1.9763e-19,1.6893e+05,1,0.018663,0.518,0.004932,1
1.5327,364.29,600.79,28.448,2.2255e-19,1.7042e+05,1,0.0197,0.519,0.005206,1
1.5279,365.08,599.28,29.328,2.4748e-19,1.7192e+05,1,0.020737,0.52,0.00548,1
1.5231,365.87,597.78,30.209,2.7242e-19,1.7341e+05,1,0.021774,0.521,0.005754,1
1.5183,366.66,596.28,31.089,2.9736e-19,1.749e+05,1,0.022811,0.522,0.006028,1
1.5135,367.45,594.78,31.97,3.2231e-19,1.7639e+05,1,0.023848,0.523,0.006302,1
1.5087,368.23,593.27,32.85,3.4726e-19,1.7788e+05,1,0.024885,0.524,0.006576,1
1.5039,369.02,591.77,33.731,3.7221e-19,1.7937e+05,1,0.025921,0.525,0.00685,1
1.499,369.81,590.27,34.612,3.9718e-19,1.8086e+05,1,0.026958,0.526,0.007124,1
1.4942,370.6,588.76,35.492,4.2215e-19,1.8235e+05,1,0.027995,0.527,0.007398,1
1.4894,371.39,587.26,36.373,4.4712e-19,1.8385e+05,1,0.029032,0.528,0.007672,1
1.4846,372.18,585.76,37.253,4.721e-19,1.8534e+05,1,0.030069,0.529,0.007946,1
1.48,372.94,584.29,38.147,4.8843e-19,1.868e+05,1,0.031106,0.53,0.00822,1
1.4763,373.55,583.02,39.116,4.5541e-19,1.8812e+05,1,0.032143,0.531,0.008494,1
1.4726,374.16,581.74,40.084,4.2239e-19,1.8945e+05,1,0.033179,0.532,0.008768,1
1.469,374.77,580.47,41.053,3.8936e-19,1.9077e+05,1,0.034216,0.533,0.009042,1
1.4653,375.37,579.2,42.021,3.5633e-19,1.9209e+05,1,0.035253,0.534,0.009316,1
1.4616,375.98,577.93,42.99,3.2329e-19,1.9341e+05,1,0.03629,0.535,0.00959,1
1.458,376.59,576.65,43.958,2.9025e-19,1.9474e+05,1,0.037327,0.536,0.009864,1
1.4543,377.2,575.38,44.927,2.572e-19,1.9606e+05,1,0.038364,0.537,0.010138,1
1.4506,377.8,574.11,45.895,2.2414e-19,1.9738e+05,1,0.039401,0.538,0.010412,1
1.4469,378.41,572.84,46.864,1.9108e-19,1.987e+05,1,0.040437,0.539,0.010686,1
1.4433,379.02,571.56,47.833,1.5801e-19,2.0002e+05,1,0.041474,0.54,0.01096,1
1.4396,379.63,570.29,48.801,1.2494e-19,2.0135e+05,1,0.042511,0.541,0.011234,1
1.4359,380.24,569.02,49.77,9.1863e-20,2.0267e+05,1,0.043548,0.542,0.011508,1
1.4323,380.84,567.74,50.738,5.8778e-20,2.0399e+05,1,0.044585,0.543,0.011782,1
1.4286,381.45,566.47,51.707,2.5686e-20,2.0531e+05,1,0.045622,0.544,0.012056,1
1.4251,382.02,565.25,52.68,-5.3035e-20,2.0658e+05,1,0.046659,0.545,0.01233,1
1.4225,382.46,564.23,53.669,-2.8992e-19,2.0767e+05,1,0.047696,0.546,0.012604,1
1.4198,382.9,563.21,54.657,-5.268e-19,2.0876e+05,1,0.048732,0.547,0.012878,1
1.4172,383.34,562.18,55.646,-7.6367e-19,2.0985e+05,1,0.049769,0.548,0.013152,1
1.4145,383.78,561.16,56.634,-1.0005e-18,2.1094e+05,1,0.050806,0.549,0.013426,1
1.4119,384.22,560.13,57.623,-1.2374e-18,2.1203e+05,1,0.051843,0.55,0.0137,1
1.4092,384.66,559.11,58.611,-1.4742e-18,2.1312e+05,1,0.05288,0.551,0.013974,1
1.4066,385.1,558.08,59.6,-1.7111e-18,2.1421e+05,1,0.053917,0.552,0.014248,1
1.4039,385.54,557.06,60.588,-1.9479e-18,2.153e+05,1,0.054953,0.553,0.014522,1
1.4013,385.97,556.03,61.577,-2.1847e-18,2.1639e+05,1,0.05599,0.554,0.014796,1
1.3986,386.41,555.01,62.565,-2.4215e-18,2.1748e+05,1,0.057027,0.555,0.01507,1
1.3959,386.85,553.98,63.554,-2.6583e-18,2.1857e+05,1,0.058064,0.556,0.015344,1
1.3933,387.29,552.96,64.542,-2.8951e-18,2.1966e+05,1,0.059101,0.557,0.015618,1
1.3906,387.73,551.93,65.531,-3.1319e-18,2.2075e+05,1,0.060138,0.558,0.015892,1
1.388,388.17,550.91,66.52,-3.3687e-18,2.2184e+05,1,0.061175,0.559,0.016166,1
1.3856,388.56,549.96,67.496,-3.5348e-18,2.2285e+05,1,0.062212,0.56,0.01644,1
1.3838,388.85,549.19,68.443,-3.5347e-18,2.2366e+05,1,0.063248,0.561,0.016714,1
1.3821,389.14,548.42,69.39,-3.5346e-18,2.2448e+05,1,0.064285,0.562,0.016988,1
1.3803,389.42,547.64,70.337,-3.5345e-18,2.2529e+05,1,0.065322,0.563,0.017262,1
1.3786,389.71,546.87,71.284,-3.5345e-18,2.2611e+05,1,0.066359,0.564,0.017536,1
1.3768,389.99,546.1,72.231,-3.5344e-18,2.2693e+05,1,0.067396,0.565,0.01781,1
1.3751,390.28,545.33,73.178,-3.5343e-18,2.2774e+05,1,0.068433,0.566,0.018084,1
1.3733,390.57,544.55,74.125,-3.5343e-18,2.2856e+05,1,0.06947,0.567,0.018358,1
1.3716,390.85,543.78,75.072,-3.5342e-18,2.2937e+05,1,0.070506,0.568,0.018632,1
1.3698,391.14,543.01,76.019,-3.5341e-18,2.3019e+05,1,0.071543,0.569,0.018906,1
1.368,391.42,542.24,76.966,-3.5341e-18,2.3101e+05,1,0.07258,0.57,0.01918,1
1.3663,391.71,541.46,77.913,-3.534e-18,2.3182e+05,1,0.073617,0.571,0.019454,1
1.3645,392,540.69,78.86,-3.5339e-18,2.3264e+05,1,0.074654,0.572,0.019728,1
1.3628,392.28,539.92,79.808,-3.5339e-18,2.3345e+05,1,0.075691,0.573,0.020002,1
1.361,392.57,539.15,80.755,-3.5338e-18,2.3427e+05,1,0.076728,0.574,0.020276,1
1.3596,392.8,538.46,81.667,-3.4454e-18,2.3498e+05,1,0.077764,0.575,0.02055,1
1.3586,392.96,537.94,82.521,-3.2086e-18,2.3551e+05,1,0.078801,0.576,0.020824,1
1.3576,393.11,537.41,83.376,-2.9717e-18,2.3604e+05,1,0.079838,0.577,0.021098,1
1.3566,393.27,536.89,84.23,-2.7349e-18,2.3657e+05,1,0.080875,0.578,0.021372,1
1.3556,393.42,536.36,85.084,-2.4982e-18,2.371e+05,1,0.081912,0.579,0.021646,1
1.3547,393.57,535.83,85.938,-2.2614e-18,2.3763e+05,1,0.082949,0.58,0.02192,1
1.3537,393.73,535.31,86.793,-2.0246e-18,2.3816e+05,1,0.083986,0.581,0.022194,1
1.3527,393.88,534.78,87.647,-1.7878e-18,2.3869e+05,1,0.085022,0.582,0.022468,1
1.3517,394.04,534.25,88.501,-1.5511e-18,2.3922e+05,1,0.086059,0.583,0.022742,1
1.3508,394.19,533.73,89.356,-1.3143e-18,2.3975e+05,1,0.087096,0.584,0.023016,1
1.3498,394.34,533.2,90.21,-1.0776e-18,2.4028e+05,1,0.088133,0.585,0.02329,1
1.3488,394.5,532.67,91.065,-8.4084e-19,2.4081e+05,1,0.08917,0.586,0.023564,1
1.3478,394.65,532.15,91.919,-6.0412e-19,2.4134e+05,1,0.090207,0.587,0.023838,1
1.3469,394.81,531.62,92.773,-3.6741e-19,2.4187e+05,1,0.091244,0.588,0.024112,1
1.3459,394.96,531.09,93.628,-1.3071e-19,2.424e+05,1,0.09228,0.589,0.024386,1
1.3452,395.07,530.67,94.424,-1.1532e-19,2.4281e+05,1,0.093317,0.59,0.02466,1
1.3449,395.11,530.37,95.148,-3.7286e-19,2.4307e+05,1,0.094354,0.591,0.024934,1
1.3445,395.16,530.07,95.872,-6.3037e-19,2.4333e+05,1,0.095391,0.592,0.025208,1
1.3442,395.21,529.77,96.597,-8.8787e-19,2.436e+05,1,0.096428,0.593,0.025482,1
1.3439,395.26,529.47,97.321,-1.1453e-18,2.4386e+05,1,0.097465,0.594,0.025756,1
1.3436,395.3,529.17,98.045,-1.4028e-18,2.4412e+05,1,0.098502,0.595,0.02603,1
1.3432,395.35,528.87,98.77,-1.6603e-18,2.4438e+05,1,0.099538,0.596,0.026304,1
1.3429,395.4,528.57,99.494,-1.9177e-18,2.4464e+05,1,0.10058,0.597,0.026578,1
1.3426,395.44,528.27,100.22,-2.1751e-18,2.449e+05,1,0.10161,0.598,0.026852,1
1.3422,395.49,527.97,100.94,-2.4325e-18,2.4517e+05,1,0.10265,0.599,0.027126,1
1.3419,395.54,527.67,101.67,-2.6899e-18,2.4543e+05,1,0.10369,0.6,0.0274,1
1.3416,395.59,527.37,102.39,-2.9472e-18,2.4569e+05,1,0.10472,0.601,0.027674,1
1.3413,395.63,527.07,103.12,-3.2046e-18,2.4595e+05,1,0.10576,0.602,0.027948,1
1.3409,395.68,526.77,103.84,-3.4619e-18,2.4621e+05,1,0.1068,0.603,0.028222,1
1.3406,395.73,526.47,104.56,-3.7192e-18,2.4648e+05,1,0.10783,0.604,0.028496,1
1.3405,395.73,526.27,105.21,-3.8418e-18,2.4662e+05,1,0.10887,0.605,0.02877,1
1.3407,395.7,526.16,105.78,-3.8413e-18,2.4665e+05,1,0.10991,0.606,0.029044,1
1.3409,395.67,526.06,106.36,-3.8407e-18,2.4669e+05,1,0.11094,0.607,0.029318,1
1.3411,395.64,525.95,106.93,-3.8402e-18,2.4672e+05,1,0.11198,0.608,0.029592,1
1.3412,395.61,525.85,107.5,-3.8396e-18,2.4676e+05,1,0.11302,0.609,0.029866,1
1.3414,395.57,525.74,108.08,-3.839e-18,2.4679e+05,1,0.11405,0.61,0.03014,1
1.3416,395.54,525.64,108.65,-3.8385e-18,2.4683e+05,1,0.11509,0.611,0.030414,1
1.3418,395.51,525.53,109.22,-3.8379e-18,2.4686e+05,1,0.11613,0.612,0.030688,1
1.342,395.48,525.43,109.79,-3.8373e-18,2.469e+05,1,0.11717,0.613,0.030962,1
1.3421,395.45,525.32,110.37,-3.8367e-18,2.4693e+05,1,0.1182,0.614,0.031236,1
1.3423,395.42,525.22,110.94,-3.836e-18,2.4697e+05,1,0.11924,0.615,0.03151,1
1.3425,395.38,525.11,111.51,-3.8354e-18,2.47e+05,1,0.12028,0.616,0.031784,1
1.3427,395.35,525,112.09,-3.8348e-18,2.4704e+05,1,0.12131,0.617,0.032058,1
1.3428,395.32,524.9,112.66,-3.8342e-18,2.4707e+05,1,0.12235,0.618,0.032332,1
